Original_File,Extracted_Text,Proposed_Filename
page_10_1785375249566.png,Unknown_ILLUSTRATION 2.11,Unknown_ILLUSTRATION 2.11.png
page_10_1785375255042.png,Unknown_ILLUSTRATION 2.12,Unknown_ILLUSTRATION 2.12.png
page_11_1785375266094.png,Unknown_ILLUSTRATION 2.13,Unknown_ILLUSTRATION 2.13.png
page_11_1785375271289.png,Unknown_ILLUSTRATION 2.14,Unknown_ILLUSTRATION 2.14.png
page_12_1785375280919.png,Unknown_ILLUSTRATION 2.15,Unknown_ILLUSTRATION 2.15.png
page_12_1785375299077.png,Unknown_ILLUSTRATION 2.16,Unknown_ILLUSTRATION 2.16.png
page_15_1785375353949.png,Unknown_ILLUSTRATION 2.17,Unknown_ILLUSTRATION 2.17.png
page_15_1785375359447.png,Unknown_ILLUSTRATION 2.18,Unknown_ILLUSTRATION 2.18.png
page_16_1785375368368.png,Unknown_ILLUSTRATION 2.19,Unknown_ILLUSTRATION 2.19.png
page_17_1785375378675.png,Unknown_ILLUSTRATION 2.20,Unknown_ILLUSTRATION 2.20.png
page_17_1785375384835.png,Unknown_ILLUSTRATION 2.21,Unknown_ILLUSTRATION 2.21.png
page_18_1785375398977.png,Unknown_ILLUSTRATION 2.22,Unknown_ILLUSTRATION 2.22.png
page_19_1785375410564.png,Unknown_ILLUSTRATION 2.23,Unknown_ILLUSTRATION 2.23.png
page_20_1785375422294.png,Unknown_Years,Unknown_Years.png
page_20_1785375429346.png,Unknown_AutoSave,Unknown_AutoSave.png
page_21_1785375438511.png,Unknown_ILLUSTRATION 2.26,Unknown_ILLUSTRATION 2.26.png
page_21_1785375443714.png,Unknown_ILLUSTRATION 2.27,Unknown_ILLUSTRATION 2.27.png
page_22_1785375451818.png,Unknown_ILLUSTRATION 2.28,Unknown_ILLUSTRATION 2.28.png
page_22_1785375457770.png,Unknown_ILLUSTRATION 2.29,Unknown_ILLUSTRATION 2.29.png
