Date,TruckID,PalletID
2/15/2025,TRK001,PAL0050
2/15/2025,TRK001,PAL0039
2/15/2025,TRK001,PAL0020
2/15/2025,TRK001,PAL0025
2/15/2025,TRK001,PAL0028
2/15/2025,TRK001,PAL0043
2/15/2025,TRK001,PAL0013
2/15/2025,TRK001,PAL0024
2/15/2025,TRK001,PAL0012
2/15/2025,TRK002,PAL0021
2/15/2025,TRK002,PAL0037
2/15/2025,TRK002,PAL0004
2/15/2025,TRK002,PAL0027
2/15/2025,TRK002,PAL0006
2/15/2025,TRK002,PAL0029
2/15/2025,TRK002,PAL0038
2/15/2025,TRK002,PAL0001
2/15/2025,TRK002,PAL0002
2/15/2025,TRK003,PAL0045
2/15/2025,TRK003,PAL0015
2/15/2025,TRK003,PAL0033
2/15/2025,TRK003,PAL0032
2/15/2025,TRK003,PAL0018
2/15/2025,TRK003,PAL0030
2/15/2025,TRK003,PAL0048
2/15/2025,TRK003,PAL0047
2/15/2025,TRK004,PAL0008
2/15/2025,TRK004,PAL0011
2/15/2025,TRK004,PAL0009
2/15/2025,TRK004,PAL0031
2/15/2025,TRK004,PAL0044
2/15/2025,TRK004,PAL0035
2/15/2025,TRK004,PAL0041
2/15/2025,TRK005,PAL0034
2/15/2025,TRK005,PAL0040
2/15/2025,TRK005,PAL0014
2/15/2025,TRK005,PAL0049
2/15/2025,TRK005,PAL0010
2/15/2025,TRK005,PAL0046
2/15/2025,TRK005,PAL0022
2/15/2025,TRK005,PAL0016
2/15/2025,TRK005,PAL0019
2/15/2025,TRK006,PAL0017
2/15/2025,TRK006,PAL0036
2/15/2025,TRK006,PAL0005
2/15/2025,TRK006,PAL0003
2/15/2025,TRK006,PAL0026
2/15/2025,TRK007,PAL0023
2/15/2025,TRK007,PAL0042
2/15/2025,TRK007,PAL0007
