Ngày CT,Số CT,TK Nợ,TK Có,Số tiền,Nội dung,Bộ phận,Mã KH,Mã NCC,IFRS_Category,IFRS_Standard,IFRS_Category,IFRS_Standard
21/08/2024,CT492827,642,511,23260757.66đ,Giao dịch mua bán,Finance,CUST0053,VEND0073,Expense,IAS 1,Expense,IAS 1
24/06/2024,CT985047,156,632,24405226.53đ,Giao dịch mua bán,Finance,CUST0124,VEND0111,Asset,IAS 16,Asset,IAS 16
22/04/2024,CT569285,111,642,30251293.3đ,Giao dịch mua bán,HR,CUST0189,VEND0170,Asset,IAS 16,Asset,IAS 16
06/05/2024,CT683483,152,211,4132138.28đ,Giao dịch mua bán,Sales,CUST0149,VEND0118,Asset,IAS 16,Asset,IAS 16
01/02/2024,CT338957,511,331,21600536.14đ,Giao dịch mua bán,HR,CUST0078,VEND0156,Revenue,IFRS 15,Revenue,IFRS 15
05/08/2024,CT089269,112,331,7869325.81đ,Giao dịch mua bán,Production,CUST0112,VEND0050,Asset,IAS 16,Asset,IAS 16
04/08/2024,CT746862,211,642,11486852.84đ,Giao dịch mua bán,HR,CUST0063,VEND0131,Asset,IAS 16,Asset,IAS 16
14/12/2024,CT301731,511,111,24765610.76đ,Giao dịch mua bán,Sales,CUST0182,VEND0025,Revenue,IFRS 15,Revenue,IFRS 15
09/11/2024,CT834196,152,331,29283788.88đ,Giao dịch mua bán,Production,CUST0058,VEND0029,Asset,IAS 16,Asset,IAS 16
19/05/2024,CT313305,632,331,20972026.72đ,Giao dịch mua bán,Production,CUST0032,VEND0100,Expense,IAS 1,Expense,IAS 1
18/08/2024,CT365015,632,214,40418163.46đ,Giao dịch mua bán,Production,CUST0183,VEND0085,Expense,IAS 1,Expense,IAS 1
11/11/2024,CT787937,152,214,1041511.77đ,Giao dịch mua bán,Sales,CUST0006,VEND0129,Asset,IAS 16,Asset,IAS 16
19/12/2024,CT014341,156,511,37557169.57đ,Giao dịch mua bán,Finance,CUST0015,VEND0195,Asset,IAS 16,Asset,IAS 16
25/12/2024,CT384791,152,156,32835140.6đ,Giao dịch mua bán,HR,CUST0114,VEND0050,Asset,IAS 16,Asset,IAS 16
20/05/2024,DUPLICATE,642,632,48297155.14đ,Giao dịch mua bán,Finance,CUST0191,VEND0086,Expense,IAS 1,Expense,IAS 1
06/12/2024,CT221718,152,152,33939331đ,Giao dịch mua bán,HR,CUST0089,VEND0093,Asset,IAS 16,Asset,IAS 16
18/06/2024,CT352854,131,632,48737092.58đ,Giao dịch mua bán,Sales,CUST0067,VEND0003,Asset,IAS 16,Asset,IAS 16
17/01/2024,CT702372,642,131,18056550.93đ,Giao dịch mua bán,IT,CUST0131,VEND0081,Expense,IAS 1,Expense,IAS 1
16/09/2024,CT486321,156,131,27305763.43đ,Giao dịch mua bán,Production,CUST0031,VEND0041,Asset,IAS 16,Asset,IAS 16
12/05/2024,CT701709,112,112,48881375.69đ,Giao dịch mua bán,Finance,CUST0156,VEND0098,Asset,IAS 16,Asset,IAS 16
07/09/2024,CT512478,156,111,21432216.16đ,Giao dịch mua bán,Production,CUST0035,VEND0017,Asset,IAS 16,Asset,IAS 16
09/12/2024,CT142030,131,511,38546188.17đ,Giao dịch mua bán,Finance,CUST0077,VEND0054,Asset,IAS 16,Asset,IAS 16
25/06/2024,CT610628,214,156,1178005.74đ,Giao dịch mua bán,HR,CUST0163,VEND0055,Asset,IAS 16,Asset,IAS 16
14/08/2024,CT956980,211,211,22726272.04đ,Giao dịch mua bán,HR,CUST0053,VEND0095,Asset,IAS 16,Asset,IAS 16
20/10/2024,CT299211,642,642,32982041.8đ,Giao dịch mua bán,Production,CUST0072,VEND0116,Expense,IAS 1,Expense,IAS 1
11/07/2024,CT408532,214,211,11621282.09đ,Giao dịch mua bán,Sales,CUST0096,VEND0028,Asset,IAS 16,Asset,IAS 16
14/02/2024,CT841590,112,331,3031490.92đ,Giao dịch mua bán,IT,CUST0001,VEND0082,Asset,IAS 16,Asset,IAS 16
11/04/2024,CT621270,331,632,22554654.74đ,Giao dịch mua bán,HR,CUST0171,VEND0114,Liability,IAS 37,Liability,IAS 37
18/09/2024,CT979073,112,112,32014209.29đ,Giao dịch mua bán,Finance,CUST0164,VEND0101,Asset,IAS 16,Asset,IAS 16
02/02/2024,CT539916,331,214,1133651.91đ,Giao dịch mua bán,HR,CUST0116,VEND0130,Liability,IAS 37,Liability,IAS 37
29/08/2024,CT062899,214,111,8769658.01đ,Giao dịch mua bán,Sales,CUST0123,VEND0152,Asset,IAS 16,Asset,IAS 16
24/09/2024,CT765273,331,156,39140633.92đ,Giao dịch mua bán,IT,CUST0055,VEND0068,Liability,IAS 37,Liability,IAS 37
20/10/2024,CT736271,111,152,27436610.85đ,Giao dịch mua bán,HR,CUST0069,VEND0179,Asset,IAS 16,Asset,IAS 16
01/08/2024,CT384013,331,214,49135041.71đ,Giao dịch mua bán,Production,CUST0023,VEND0029,Liability,IAS 37,Liability,IAS 37
09/07/2024,CT104024,152,211,24257594.54đ,Giao dịch mua bán,Production,CUST0109,VEND0102,Asset,IAS 16,Asset,IAS 16
12/07/2024,CT645190,642,511,4647677.05đ,Giao dịch mua bán,IT,CUST0037,VEND0049,Expense,IAS 1,Expense,IAS 1
19/10/2024,CT630974,112,331,40396325.81đ,Giao dịch mua bán,Finance,CUST0180,VEND0143,Asset,IAS 16,Asset,IAS 16
20/08/2024,CT776969,642,211,33724976.78đ,Giao dịch mua bán,Finance,CUST0083,VEND0056,Expense,IAS 1,Expense,IAS 1
23/04/2024,CT744789,156,112,37810482.51đ,Giao dịch mua bán,Production,CUST0098,VEND0036,Asset,IAS 16,Asset,IAS 16
21/09/2024,CT097952,632,156,32687605.32đ,Giao dịch mua bán,Sales,CUST0137,VEND0072,Expense,IAS 1,Expense,IAS 1
14/04/2024,CT564026,642,632,35843098.31đ,Giao dịch mua bán,HR,CUST0077,VEND0157,Expense,IAS 1,Expense,IAS 1
06/07/2024,CT430673,131,632,20821109.75đ,Giao dịch mua bán,Sales,CUST0046,VEND0025,Asset,IAS 16,Asset,IAS 16
09/08/2024,CT554271,331,156,14270067.91đ,Giao dịch mua bán,Production,CUST0098,VEND0112,Liability,IAS 37,Liability,IAS 37
19/10/2024,CT703852,111,131,43165524.44đ,Giao dịch mua bán,Sales,CUST0053,VEND0011,Asset,IAS 16,Asset,IAS 16
20/10/2024,CT136833,131,642,5235660.34đ,Giao dịch mua bán,Finance,CUST0101,VEND0089,Asset,IAS 16,Asset,IAS 16
17/09/2024,CT303562,112,511,43753884.83đ,Giao dịch mua bán,HR,CUST0054,VEND0060,Asset,IAS 16,Asset,IAS 16
22/04/2024,CT430863,156,111,5708376.38đ,Giao dịch mua bán,IT,CUST0048,VEND0118,Asset,IAS 16,Asset,IAS 16
23/10/2024,CT454446,331,632,33366498.63đ,Giao dịch mua bán,Sales,CUST0163,VEND0080,Liability,IAS 37,Liability,IAS 37
04/05/2024,DUPLICATE,156,131,17689488.47đ,Giao dịch mua bán,Sales,CUST0158,VEND0100,Asset,IAS 16,Asset,IAS 16
10/02/2024,CT244569,214,511,260576.1đ,Giao dịch mua bán,Finance,CUST0163,VEND0125,Asset,IAS 16,Asset,IAS 16
31/10/2024,CT407884,111,211,14126149.38đ,Giao dịch mua bán,Finance,CUST0050,VEND0154,Asset,IAS 16,Asset,IAS 16
19/07/2024,CT565480,632,111,40988806.55đ,Giao dịch mua bán,Production,CUST0053,VEND0108,Expense,IAS 1,Expense,IAS 1
12/05/2024,CT572568,156,211,29729874.64đ,Giao dịch mua bán,Production,CUST0151,VEND0140,Asset,IAS 16,Asset,IAS 16
01/01/2024,CT415145,642,152,8593321.67đ,Giao dịch mua bán,IT,CUST0172,VEND0169,Expense,IAS 1,Expense,IAS 1
31/07/2024,CT462453,642,331,5742798.16đ,Giao dịch mua bán,HR,CUST0172,VEND0192,Expense,IAS 1,Expense,IAS 1
11/06/2024,CT675186,632,642,43757898.2đ,Giao dịch mua bán,IT,CUST0109,VEND0145,Expense,IAS 1,Expense,IAS 1
02/11/2024,CT598256,214,632,36051516.47đ,Giao dịch mua bán,Production,CUST0098,VEND0134,Asset,IAS 16,Asset,IAS 16
09/03/2024,CT877405,632,642,14303101.15đ,Giao dịch mua bán,Production,CUST0083,VEND0105,Expense,IAS 1,Expense,IAS 1
08/01/2024,CT644314,331,214,21714393.8đ,Giao dịch mua bán,HR,CUST0197,VEND0043,Liability,IAS 37,Liability,IAS 37
23/11/2024,CT667581,211,152,35400848.15đ,Giao dịch mua bán,Finance,CUST0018,VEND0196,Asset,IAS 16,Asset,IAS 16
16/07/2024,CT716076,211,331,9044906.44đ,Giao dịch mua bán,Finance,CUST0120,VEND0153,Asset,IAS 16,Asset,IAS 16
29/12/2024,CT033559,511,131,3828131.66đ,Giao dịch mua bán,IT,CUST0090,VEND0187,Revenue,IFRS 15,Revenue,IFRS 15
25/10/2024,CT693053,211,632,17198339.44đ,Giao dịch mua bán,Sales,CUST0137,VEND0153,Asset,IAS 16,Asset,IAS 16
20/04/2024,CT867345,112,111,42734855.78đ,Giao dịch mua bán,Sales,CUST0105,VEND0181,Asset,IAS 16,Asset,IAS 16
11/10/2024,CT137811,112,156,48251167.09đ,Giao dịch mua bán,Finance,CUST0141,VEND0097,Asset,IAS 16,Asset,IAS 16
18/01/2024,CT979661,111,214,36093091.43đ,Giao dịch mua bán,Finance,CUST0072,VEND0108,Asset,IAS 16,Asset,IAS 16
30/08/2024,CT063983,152,131,30138902.59đ,Giao dịch mua bán,IT,CUST0126,VEND0183,Asset,IAS 16,Asset,IAS 16
10/06/2024,CT531421,111,211,6770401.02đ,Giao dịch mua bán,HR,CUST0078,VEND0113,Asset,IAS 16,Asset,IAS 16
12/03/2024,CT604090,214,642,17528954.31đ,Giao dịch mua bán,Sales,CUST0063,VEND0046,Asset,IAS 16,Asset,IAS 16
14/06/2024,CT736463,111,632,46736948.8đ,Giao dịch mua bán,Finance,CUST0124,VEND0188,Asset,IAS 16,Asset,IAS 16
21/06/2024,CT236290,211,331,17751667.01đ,Giao dịch mua bán,Finance,CUST0173,VEND0020,Asset,IAS 16,Asset,IAS 16
13/02/2024,CT102758,111,156,46353450.52đ,Giao dịch mua bán,Finance,CUST0177,VEND0029,Asset,IAS 16,Asset,IAS 16
07/12/2024,CT029977,131,156,20975991.72đ,Giao dịch mua bán,IT,CUST0066,VEND0061,Asset,IAS 16,Asset,IAS 16
29/04/2024,CT057195,156,152,48719685.03đ,Giao dịch mua bán,Finance,CUST0070,VEND0105,Asset,IAS 16,Asset,IAS 16
19/03/2024,CT878417,156,642,4488944.45đ,Giao dịch mua bán,Finance,CUST0165,VEND0002,Asset,IAS 16,Asset,IAS 16
04/12/2024,CT518145,642,632,45371358.82đ,Giao dịch mua bán,IT,CUST0159,VEND0164,Expense,IAS 1,Expense,IAS 1
29/09/2024,CT500450,214,642,38559116.27đ,Giao dịch mua bán,Production,CUST0190,VEND0115,Asset,IAS 16,Asset,IAS 16
18/07/2024,CT208678,152,511,21694976.11đ,Giao dịch mua bán,Sales,CUST0002,VEND0112,Asset,IAS 16,Asset,IAS 16
15/01/2024,CT642435,642,111,34212176.94đ,Giao dịch mua bán,HR,CUST0050,VEND0016,Expense,IAS 1,Expense,IAS 1
29/09/2024,CT808683,211,111,44978217.06đ,Giao dịch mua bán,HR,CUST0132,VEND0060,Asset,IAS 16,Asset,IAS 16
