Ngày CT,Số CT,TK Nợ,TK Có,Số tiền,Nội dung,Bộ phận,Mã KH,Mã NCC,IFRS_Category,IFRS_Standard,IFRS_Category,IFRS_Standard
19/12/2024,CT292425,131,131,35477450.74đ,Giao dịch mua bán,IT,CUST0009,VEND0194,Asset,IAS 16,Asset,IAS 16
20/07/2024,CT863204,152,511,45749938.98đ,Giao dịch mua bán,Finance,CUST0119,VEND0141,Asset,IAS 16,Asset,IAS 16
19/02/2024,CT714345,632,156,23942524.22đ,Giao dịch mua bán,Finance,CUST0081,VEND0016,Expense,IAS 1,Expense,IAS 1
13/07/2024,CT127446,131,156,16986628.68đ,Giao dịch mua bán,Finance,CUST0128,VEND0183,Asset,IAS 16,Asset,IAS 16
25/10/2024,CT372471,112,214,21606396.88đ,Giao dịch mua bán,Finance,CUST0170,VEND0091,Asset,IAS 16,Asset,IAS 16
18/12/2024,CT054013,632,642,32717017.35đ,Giao dịch mua bán,Sales,CUST0134,VEND0159,Expense,IAS 1,Expense,IAS 1
19/09/2024,CT512594,156,156,38497206.72đ,Giao dịch mua bán,IT,CUST0139,VEND0011,Asset,IAS 16,Asset,IAS 16
21/06/2024,CT917251,211,331,13511849.5đđ,Giao dịch mua bán,Finance,CUST0106,VEND0084,Asset,IAS 16,Asset,IAS 16
29/12/2024,CT538799,211,214,21843231.87đ,Giao dịch mua bán,Sales,CUST0062,VEND0154,Asset,IAS 16,Asset,IAS 16
05/03/2024,CT537131,211,156,15148664.82đ,Giao dịch mua bán,Sales,CUST0191,VEND0108,Asset,IAS 16,Asset,IAS 16
04/02/2024,CT291382,152,112,11595524.42đ,Giao dịch mua bán,Sales,CUST0006,VEND0159,Asset,IAS 16,Asset,IAS 16
23/01/2024,CT771546,511,152,35452277.03đ,Giao dịch mua bán,IT,CUST0036,VEND0006,Revenue,IFRS 15,Revenue,IFRS 15
15/12/2024,CT923464,111,632,40774442.83đ,Giao dịch mua bán,Sales,CUST0175,VEND0179,Asset,IAS 16,Asset,IAS 16
11/06/2024,CT738797,152,152,3743849.44đ,Giao dịch mua bán,Sales,CUST0107,VEND0156,Asset,IAS 16,Asset,IAS 16
06/09/2024,CT154260,211,214,18013251.52đ,Giao dịch mua bán,IT,CUST0010,VEND0160,Asset,IAS 16,Asset,IAS 16
22/08/2024,CT041619,111,152,6919667.85đ,Giao dịch mua bán,Finance,CUST0156,VEND0099,Asset,IAS 16,Asset,IAS 16
13/01/2024,CT995838,214,211,7277972.21đ,Giao dịch mua bán,Production,CUST0191,VEND0077,Asset,IAS 16,Asset,IAS 16
20/11/2024,CT914010,642,152,5215342.51đ,Giao dịch mua bán,Finance,CUST0084,VEND0116,Expense,IAS 1,Expense,IAS 1
06/08/2024,CT859803,152,642,44138299.85đđ,Giao dịch mua bán,IT,CUST0024,VEND0090,Asset,IAS 16,Asset,IAS 16
19/03/2024,CT698878,211,152,2788905.27đ,Giao dịch mua bán,IT,CUST0016,VEND0183,Asset,IAS 16,Asset,IAS 16
03/03/2024,CT849159,511,152,47945425.62đ,Giao dịch mua bán,IT,CUST0135,VEND0182,Revenue,IFRS 15,Revenue,IFRS 15
29/02/2024,CT111756,511,214,8494461.8đ,Giao dịch mua bán,Sales,CUST0179,VEND0034,Revenue,IFRS 15,Revenue,IFRS 15
04/11/2024,CT200768,111,632,19216120.5đ,Giao dịch mua bán,Production,CUST0068,VEND0134,Asset,IAS 16,Asset,IAS 16
14/06/2024,CT423099,111,111,34014444.84đ,Giao dịch mua bán,Sales,CUST0141,VEND0188,Asset,IAS 16,Asset,IAS 16
10/05/2024,CT874792,331,111,42499808.41đ,Giao dịch mua bán,Production,CUST0005,VEND0195,Liability,IAS 37,Liability,IAS 37
25/01/2024,CT770651,112,152,7269184.47đ,Giao dịch mua bán,IT,CUST0079,VEND0013,Asset,IAS 16,Asset,IAS 16
09/11/2024,CT521228,632,131,5881329.26đ,Giao dịch mua bán,Finance,CUST0099,VEND0166,Expense,IAS 1,Expense,IAS 1
10/10/2024,CT991513,112,152,27239406.96đ,Giao dịch mua bán,HR,CUST0017,VEND0026,Asset,IAS 16,Asset,IAS 16
25/11/2024,CT526835,156,131,12830751.32đ,Giao dịch mua bán,IT,CUST0189,VEND0125,Asset,IAS 16,Asset,IAS 16
08/01/2024,CT377754,156,152,8111009.61đ,Giao dịch mua bán,Production,CUST0002,VEND0090,Asset,IAS 16,Asset,IAS 16
17/01/2024,CT472805,214,511,21712601.64đ,Giao dịch mua bán,Production,CUST0034,VEND0072,Asset,IAS 16,Asset,IAS 16
24/05/2024,CT772289,632,112,46204094.36đ,Giao dịch mua bán,Sales,CUST0136,VEND0009,Expense,IAS 1,Expense,IAS 1
12/10/2024,CT608382,112,632,21874561.91đ,Giao dịch mua bán,Production,CUST0086,VEND0045,Asset,IAS 16,Asset,IAS 16
12/02/2024,CT290964,214,156,1273145.97đ,Giao dịch mua bán,Production,CUST0198,VEND0144,Asset,IAS 16,Asset,IAS 16
15/01/2024,CT700292,156,214,761888.62đ,Giao dịch mua bán,Sales,CUST0169,VEND0110,Asset,IAS 16,Asset,IAS 16
29/07/2024,CT630464,111,632,20859808.56đ,Giao dịch mua bán,Production,CUST0113,VEND0158,Asset,IAS 16,Asset,IAS 16
10/01/2024,CT639327,156,511,9774958.9đ,Giao dịch mua bán,Production,CUST0028,VEND0167,Asset,IAS 16,Asset,IAS 16
15/04/2024,CT340499,642,112,25028541.72đ,Giao dịch mua bán,HR,CUST0107,VEND0042,Expense,IAS 1,Expense,IAS 1
22/07/2024,CT386559,156,131,14967158.75đ,Giao dịch mua bán,Sales,CUST0112,VEND0164,Asset,IAS 16,Asset,IAS 16
21/01/2024,CT417981,211,112,46340967.05đ,Giao dịch mua bán,Production,CUST0074,VEND0069,Asset,IAS 16,Asset,IAS 16
25/12/2024,CT104413,642,632,45294648.12đ,Giao dịch mua bán,IT,CUST0145,VEND0065,Expense,IAS 1,Expense,IAS 1
10/04/2024,CT980844,632,632,746192.75đ,Giao dịch mua bán,Production,CUST0008,VEND0074,Expense,IAS 1,Expense,IAS 1
06/03/2024,CT170934,111,331,19244092.55đ,Giao dịch mua bán,Production,CUST0029,VEND0067,Asset,IAS 16,Asset,IAS 16
01/05/2024,CT699578,211,331,38988140.21đ,Giao dịch mua bán,Sales,CUST0131,VEND0188,Asset,IAS 16,Asset,IAS 16
01/08/2024,CT874659,214,214,7259206.07đ,Giao dịch mua bán,Finance,CUST0016,VEND0006,Asset,IAS 16,Asset,IAS 16
29/03/2024,CT880418,331,511,5261939.45đ,Giao dịch mua bán,Sales,CUST0126,VEND0154,Liability,IAS 37,Liability,IAS 37
28/02/2024,CT951596,156,632,13568642.48đ,Giao dịch mua bán,Production,CUST0009,VEND0194,Asset,IAS 16,Asset,IAS 16
16/09/2024,CT619660,112,331,46524689.57đ,Giao dịch mua bán,HR,CUST0053,VEND0125,Asset,IAS 16,Asset,IAS 16
12/03/2024,CT666197,131,632,47644542.79đ,Giao dịch mua bán,IT,CUST0087,VEND0025,Asset,IAS 16,Asset,IAS 16
