Ngày CT,Số CT,TK Nợ,TK Có,Số tiền,Nội dung,Bộ phận,Mã KH,Mã NCC,IFRS_Category,IFRS_Standard,IFRS_Category,IFRS_Standard
06/06/2024,CT921499,214,214,14454360.34đ,Giao dịch mua bán,Sales,CUST0143,VEND0188,Asset,IAS 16,Asset,IAS 16
31/05/2024,CT440581,156,331,396533.81đ,Giao dịch mua bán,HR,CUST0032,VEND0145,Asset,IAS 16,Asset,IAS 16
26/12/2024,CT570898,214,642,12415746.67đ,Giao dịch mua bán,HR,CUST0163,VEND0009,Asset,IAS 16,Asset,IAS 16
12/09/2024,CT447524,511,632,37804651.25đ,Giao dịch mua bán,Sales,CUST0119,VEND0158,Revenue,IFRS 15,Revenue,IFRS 15
29/07/2024,CT933758,211,632,42725929.19đ,Giao dịch mua bán,Production,CUST0016,VEND0040,Asset,IAS 16,Asset,IAS 16
18/05/2024,CT108437,111,211,3607636.77đ,Giao dịch mua bán,Production,CUST0159,VEND0151,Asset,IAS 16,Asset,IAS 16
10/02/2024,CT577975,112,632,22607986.21đ,Giao dịch mua bán,Sales,CUST0085,VEND0190,Asset,IAS 16,Asset,IAS 16
19/07/2024,CT119639,214,111,145845.47đ,Giao dịch mua bán,IT,CUST0198,VEND0172,Asset,IAS 16,Asset,IAS 16
21/04/2024,CT570412,214,111,21342675.83đ,Giao dịch mua bán,IT,CUST0050,VEND0052,Asset,IAS 16,Asset,IAS 16
05/07/2024,CT259136,632,642,49239444.37đ,Giao dịch mua bán,Finance,CUST0077,VEND0057,Expense,IAS 1,Expense,IAS 1
22/10/2024,CT977945,642,632,37696594.12đ,Giao dịch mua bán,Finance,CUST0027,VEND0075,Expense,IAS 1,Expense,IAS 1
24/03/2024,CT364443,632,112,9612388.26đ,Giao dịch mua bán,Sales,CUST0034,VEND0057,Expense,IAS 1,Expense,IAS 1
18/02/2024,CT770206,632,632,22390024.89đ,Giao dịch mua bán,Finance,CUST0112,VEND0109,Expense,IAS 1,Expense,IAS 1
22/09/2024,CT901868,111,331,23121144.25đ,Giao dịch mua bán,Sales,CUST0086,VEND0059,Asset,IAS 16,Asset,IAS 16
12/08/2024,CT011137,156,632,29658274.15đ,Giao dịch mua bán,Sales,CUST0069,VEND0088,Asset,IAS 16,Asset,IAS 16
08/02/2024,CT149738,632,632,24109361.63đđ,Giao dịch mua bán,HR,CUST0151,VEND0169,Expense,IAS 1,Expense,IAS 1
07/09/2024,CT282924,214,156,5624937.47đ,Giao dịch mua bán,Sales,CUST0187,VEND0027,Asset,IAS 16,Asset,IAS 16
08/01/2024,CT793504,511,131,14786626.7đ,Giao dịch mua bán,Production,CUST0165,VEND0025,Revenue,IFRS 15,Revenue,IFRS 15
17/09/2024,CT789575,642,511,4945838.33đ,Giao dịch mua bán,Finance,CUST0125,VEND0200,Expense,IAS 1,Expense,IAS 1
03/03/2024,CT922650,156,131,48102139.2đ,Giao dịch mua bán,HR,CUST0177,VEND0134,Asset,IAS 16,Asset,IAS 16
03/12/2024,CT254585,632,331,20760935.78đ,Giao dịch mua bán,Sales,CUST0092,VEND0132,Expense,IAS 1,Expense,IAS 1
13/05/2024,CT600194,211,111,48568156.89đ,Giao dịch mua bán,Production,CUST0034,VEND0161,Asset,IAS 16,Asset,IAS 16
07/03/2024,CT939223,511,131,7110057.6đ,Giao dịch mua bán,IT,CUST0089,VEND0110,Revenue,IFRS 15,Revenue,IFRS 15
19/08/2024,CT978236,211,642,49852677.32đ,Giao dịch mua bán,Finance,CUST0109,VEND0036,Asset,IAS 16,Asset,IAS 16
04/04/2024,CT132145,632,214,13792765.51đ,Giao dịch mua bán,Finance,CUST0085,VEND0184,Expense,IAS 1,Expense,IAS 1
01/07/2024,CT606430,152,131,22218260.45,Giao dịch mua bán,Sales,CUST0073,VEND0119,Asset,IAS 16,Asset,IAS 16
28/03/2024,CT055346,156,111,46669306.65,Giao dịch mua bán,HR,CUST0181,VEND0018,Asset,IAS 16,Asset,IAS 16
26/11/2024,CT533075,214,152,41333757.14,Giao dịch mua bán,HR,CUST0184,VEND0177,Asset,IAS 16,Asset,IAS 16
19/06/2024,CT792407,131,156,26123471.22,Giao dịch mua bán,Production,CUST0006,VEND0153,Asset,IAS 16,Asset,IAS 16
14/09/2024,CT551274,632,211,15299059.45,Giao dịch mua bán,Production,CUST0048,VEND0179,Expense,IAS 1,Expense,IAS 1
29/10/2024,CT089963,156,156,30517991.53,Giao dịch mua bán,Sales,CUST0026,VEND0042,Asset,IAS 16,Asset,IAS 16
08/03/2024,CT996696,331,156,42088132.95,Giao dịch mua bán,Sales,CUST0008,VEND0083,Liability,IAS 37,Liability,IAS 37
04/09/2024,CT993357,156,152,41250323.41,Giao dịch mua bán,IT,CUST0189,VEND0132,Asset,IAS 16,Asset,IAS 16
30/04/2024,CT985371,131,642,47338659.31,Giao dịch mua bán,Production,CUST0145,VEND0024,Asset,IAS 16,Asset,IAS 16
18/11/2024,CT348013,331,642,49838995.57,Giao dịch mua bán,IT,CUST0185,VEND0143,Liability,IAS 37,Liability,IAS 37
26/08/2024,DUPLICATE,331,331,42263314.7,Giao dịch mua bán,HR,CUST0129,VEND0035,Liability,IAS 37,Liability,IAS 37
09/03/2024,CT863750,112,156,9784384.29,Giao dịch mua bán,Finance,CUST0162,VEND0129,Asset,IAS 16,Asset,IAS 16
01/05/2024,CT247163,111,331,3861396.47,Giao dịch mua bán,Finance,CUST0171,VEND0109,Asset,IAS 16,Asset,IAS 16
03/02/2024,CT119823,214,331,40669583.48,Giao dịch mua bán,IT,CUST0138,VEND0116,Asset,IAS 16,Asset,IAS 16
21/06/2024,CT560910,214,331,27732672.55,Giao dịch mua bán,HR,CUST0073,VEND0159,Asset,IAS 16,Asset,IAS 16
15/06/2024,CT703811,152,214,46240897.58,Giao dịch mua bán,IT,CUST0170,VEND0041,Asset,IAS 16,Asset,IAS 16
03/04/2024,CT465908,632,152,29014947.31,Giao dịch mua bán,IT,CUST0186,VEND0092,Expense,IAS 1,Expense,IAS 1
30/08/2024,CT592249,214,111,5438563.64,Giao dịch mua bán,IT,CUST0167,VEND0022,Asset,IAS 16,Asset,IAS 16
